timestamp,open,high,low,close,volume,MACD,Signal Line,Buy,Sell
1999-11-01,21.75,24.38,21.75,23.5,1630300,0.0,0.0,,
1999-11-02,23.94,25.13,23.75,25.0,1744800,0.11965811965811923,0.023931623931623847,,
1999-11-03,26.0,28.13,25.81,27.44,4191000,0.4066876080551296,0.100482820756325,,
1999-11-04,27.75,29.94,27.75,29.19,2625700,0.7665347843427561,0.23369321347361122,,
1999-11-05,30.0,30.25,26.88,28.25,1284100,0.96474513859269,0.379903598497427,,
1999-11-08,27.38,29.88,26.5,29.06,979200,1.1736592892034032,0.5386547366386223,,
1999-11-09,29.0,29.13,27.5,28.63,567400,1.2896614380955214,0.6888560769300022,,
1999-11-10,28.72,28.75,27.81,28.38,300100,1.3459062961950927,0.8202661207830202,,
1999-11-11,28.38,31.88,27.75,30.38,1172300,1.5341789765158964,0.9630486919295955,,
1999-11-12,31.69,32.0,29.88,32.0,1044800,1.7934333103681972,1.129125615617316,,
1999-11-15,32.22,33.19,30.88,31.38,754600,1.9266561268009852,1.2886317178540498,,
1999-11-16,32.13,35.0,32.0,34.38,1507900,2.248393021421535,1.480583978567547,,
1999-11-17,35.0,37.5,34.5,35.69,1638300,2.579344799014031,1.7003361426568437,,
1999-11-18,36.44,36.75,35.5,35.81,491600,2.8188159091048526,1.9240320959464456,,
1999-11-19,40.13,44.38,40.0,42.88,4510800,3.5383010704682647,2.24688589085081,,
1999-11-22,43.97,44.0,40.25,42.81,1125400,4.0560937060610485,2.6087274538928575,,
1999-11-23,38.25,40.19,38.0,39.75,1152600,4.171445842709968,2.92127113165628,,
1999-11-24,39.56,40.0,35.56,38.5,847600,4.114568504270121,3.1599306061790484,,
1999-11-26,38.13,38.5,37.0,38.25,149500,4.003173797466587,3.3285792444365567,,
1999-11-29,38.13,38.63,36.0,36.88,622100,3.7609907787747474,3.415061551304195,,
1999-11-30,37.0,37.63,34.63,34.63,655600,3.3488987751982293,3.401828996083002,,1.0
1999-12-01,34.63,36.88,34.63,36.38,465700,3.127471720826904,3.3469575410317827,,
1999-12-02,36.5,39.56,36.5,39.06,645600,3.1321374563385262,3.3039935240931317,,
1999-12-03,39.44,40.13,37.63,38.13,714100,3.025911038789644,3.248377027032434,,
1999-12-06,38.25,39.38,38.25,39.19,372100,2.992760300951751,3.1972536818162975,,
1999-12-07,39.5,39.56,36.38,37.88,388300,2.82818054565481,3.1234390545840003,,
1999-12-08,37.75,39.94,37.63,39.56,420200,2.801023409218118,3.058955925510824,,
1999-12-09,39.5,40.5,37.0,38.38,447800,2.6536949016484215,2.977903720738344,,
1999-12-10,39.06,39.25,37.25,37.94,204800,2.472925331311494,2.876908042852974,,
1999-12-13,37.5,38.81,37.0,37.81,383000,2.2927448949357085,2.7600754132695213,,
1999-12-14,37.88,38.81,36.81,37.19,570600,2.0759910499696517,2.6232585406095477,,
1999-12-15,36.94,37.13,35.13,36.0,429100,1.7875828688712474,2.4561234062618875,,
1999-12-16,36.19,36.75,35.63,35.75,276200,1.521307708536348,2.2691602667167796,,
1999-12-17,36.75,38.19,36.56,37.63,546000,1.4453222386610207,2.104392661105628,,
1999-12-20,37.69,41.13,36.38,40.75,838400,1.6182074433038665,2.007155617545276,,
1999-12-21,40.75,42.56,39.25,42.5,809100,1.8748188435989377,1.9806882627560083,,
1999-12-22,42.63,44.0,41.0,43.5,523300,2.134274284358902,2.011405467076587,1.0,
1999-12-23,43.56,46.5,43.38,46.38,583800,2.542972714762193,2.1177189166137085,,
1999-12-27,47.38,47.44,44.13,44.63,421700,2.6945971520894147,2.2330945637088497,,
1999-12-28,44.63,46.25,44.38,44.5,373300,2.772313196695194,2.3409382903061187,,
1999-12-29,44.41,46.5,44.38,46.0,275300,2.921266642506623,2.4570039607462197,,
1999-12-30,46.0,46.69,45.25,46.38,291200,3.0349906625297436,2.5726013011029245,,
1999-12-31,46.28,47.0,46.13,46.94,265300,3.134176254712756,2.6849162918248908,,
2000-01-03,47.25,47.63,45.25,46.81,626900,3.165798285571668,2.7810926905742464,,
2000-01-04,46.0,46.13,43.25,45.56,626000,3.054780807919009,2.835830314043199,,
2000-01-05,44.25,45.0,43.75,44.19,392400,2.823701236448464,2.833404498524252,,1.0
2000-01-06,44.06,44.06,39.5,41.19,251000,2.371160817359595,2.7409557622913203,,
2000-01-07,41.0,42.31,40.38,41.88,148300,2.0446273173058174,2.60169007329422,,
2000-01-10,42.0,45.0,41.25,43.25,499700,1.8747833805992329,2.456308734755223,,
2000-01-11,43.0,43.5,41.5,41.5,308600,1.580748576847924,2.281196703173763,,
2000-01-12,41.5,41.56,39.88,40.44,257400,1.247806795255329,2.0745187215900764,,
2000-01-13,40.38,42.5,39.88,42.13,275400,1.1075497664263096,1.8811249305573232,,
2000-01-14,42.75,45.69,42.63,43.94,1259500,1.1294275955041257,1.7307854635466837,,
2000-01-18,44.5,46.0,42.5,45.81,545100,1.2828711642060782,1.6412026036785627,,
2000-01-19,46.0,46.0,45.0,45.38,343100,1.3541688757052555,1.5837958580839016,,
2000-01-20,45.75,48.25,44.88,45.25,374100,1.3842264117720688,1.5438819688215353,,
2000-01-21,45.13,45.31,43.63,44.75,1133900,1.352115063542115,1.5055285877656515,,
2000-01-24,46.19,46.19,42.5,42.75,535300,1.1520037216121963,1.4348236145349604,,
2000-01-25,42.94,43.38,41.0,42.38,494000,0.9525774141558401,1.3383743744591365,,
2000-01-26,42.38,43.5,39.88,40.63,484300,0.645875009007348,1.199874501368779,,
2000-01-27,40.94,40.94,37.0,38.5,954600,0.22830617296214228,1.0055608356874517,,
2000-01-28,38.0,38.25,35.88,37.38,405100,-0.19079540710702503,0.7662895871285564,,
2000-01-31,37.56,38.38,35.0,37.06,380000,-0.5425041048010186,0.5045308487426414,,
2000-02-01,37.13,38.25,35.75,37.94,193700,-0.7416775391219446,0.2552891711697242,,
2000-02-02,38.13,39.75,37.94,39.0,310500,-0.8047145313776838,0.04328843066024263,,
2000-02-03,40.25,41.06,39.38,39.63,225500,-0.7946755420466829,-0.12430436388114248,,
2000-02-04,40.88,40.88,39.75,40.56,257700,-0.7035660712939418,-0.24015670536370234,,
2000-02-07,40.75,40.75,38.0,38.06,453100,-0.8235963597777669,-0.3568446362465153,,
2000-02-08,39.0,41.25,38.0,39.88,976700,-0.7630662854015213,-0.4380889660775165,,
2000-02-09,41.38,42.06,40.81,40.88,1227200,-0.6271744460993176,-0.4759060620818768,,
2000-02-10,43.38,50.0,43.38,49.25,2021000,0.15413311399328933,-0.3498982268668436,1.0,
2000-02-11,51.69,51.75,46.38,50.0,882900,0.8243412238778802,-0.11505033671789883,,
2000-02-14,50.12,58.0,49.63,58.0,1354400,1.978215484056662,0.30360282743701333,,
2000-02-15,58.13,58.19,53.38,55.75,938500,2.680217078395515,0.7789256776287137,,
2000-02-16,56.38,60.25,55.75,58.31,2124100,3.4038910673687397,1.3039187555767189,,
2000-02-17,58.0,60.75,57.5,60.38,1116200,4.097209536594278,1.8625769117802307,,
2000-02-18,59.5,68.25,59.06,67.38,2001800,5.15212047930266,2.5204856252847163,,
2000-02-22,65.25,66.13,63.0,65.5,1130200,5.769932522971018,3.1703750048219765,,
2000-02-23,64.75,66.56,63.94,65.88,1065400,6.2185324714522565,3.7800064981480332,,
2000-02-24,66.25,66.69,62.5,65.25,509000,6.448876790388248,4.313780556596076,,
2000-02-25,65.31,65.31,58.5,61.19,580700,6.231979868866439,4.6974204190501485,,
2000-02-28,60.88,61.5,59.75,60.75,1078900,5.95592695463862,4.949121726167843,,
2000-02-29,60.38,64.75,60.38,64.0,637600,5.9310316291935905,5.145503706772993,,
2000-03-01,64.0,64.0,61.13,62.13,799100,5.694762851375479,5.25535553569349,,
2000-03-02,62.63,62.63,57.75,57.94,398000,5.1105093889666975,5.2263863063481315,,1.0
2000-03-03,58.0,59.5,57.5,58.88,570200,4.669507281507208,5.115010501379947,,
2000-03-06,59.25,63.75,58.0,58.5,900200,4.2404656613437055,4.940101533372699,,
2000-03-07,74.75,87.25,71.75,83.31,4067100,5.835142845986617,5.119109795895483,1.0,
2000-03-08,83.27,84.75,77.25,84.0,1393200,7.073079183288193,5.509903673374025,,
2000-03-09,85.0,108.0,84.75,100.3,1985300,9.262652334355941,6.260453405570409,,
2000-03-10,105.5,145.0,104.9,118.0,4502500,12.284538394772483,7.465270403410825,,
2000-03-13,107.0,150.0,107.0,149.3,5031600,17.008984300856426,9.374013182899946,,
2000-03-14,148.4,148.4,108.0,110.1,3266200,17.389573152621836,10.977125176844325,,
2000-03-15,118.0,121.1,102.0,105.6,2074200,17.130609168647467,12.207821975204954,,
2000-03-16,109.0,112.8,92.63,94.17,1563300,15.820701669309756,12.930397914025916,,
2000-03-17,92.0,107.0,91.98,99.88,1161700,15.069626543967559,13.358243640014246,,
2000-03-20,103.4,107.1,96.63,99.81,761000,14.303859690278188,13.547366850067036,,
2000-03-21,100.0,100.9,87.0,94.88,1118000,13.147616603310396,13.467416800715709,,1.0
2000-03-22,95.63,98.5,94.0,95.56,480400,12.146142770463143,13.203161994665198,,
2000-03-23,94.69,102.5,94.5,97.25,644600,11.357909508027689,12.834111497337696,,
2000-03-24,96.62,101.0,90.0,93.19,482500,10.287038325116413,12.32469686289344,,
2000-03-27,93.0,96.0,86.25,87.06,810300,8.841802631096272,11.628118016534007,,
2000-03-28,84.06,85.0,79.0,80.56,819400,7.0902156613529,10.720537545497788,,
2000-03-29,80.88,82.75,72.0,75.25,978000,5.213499765840538,9.619129989566337,,
2000-03-30,73.0,81.75,70.5,74.81,754000,3.6486254913981924,8.425029089932709,,
2000-03-31,79.92,87.88,78.5,84.48,2006200,3.152400626904651,7.370503397327098,,
